s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon,u_id,u_zno,u_wno,u_nm,u_addr,u_lat,u_lon,qneat_dist
S1-3-34,Periya Kasi Koil Kuppam,Tenable,3,430,1493,1,"Periya Kasi Koil Kuppam, Ward 3, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1987098,80.3178702,UPHC1,1,2,Kathivakkam,"Urban Primary Health Centre, Kathivakkam, No 3 392; Kathivakkam High Road; Ennore; Chennai  57",13.2161325,80.318177,2671.624352
S1-2-11,ChinnaKuppam,Untenable,2,239,786,1,"ChinnaKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2074625,80.3227456,UPHC1,1,2,Kathivakkam,"Urban Primary Health Centre, Kathivakkam, No 3 392; Kathivakkam High Road; Ennore; Chennai  57",13.2161325,80.318177,1552.803335
S1-2-24,PeriyaKuppam,Untenable,2,280,918,1,"PeriyaKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2121605,80.324166,UPHC1,1,2,Kathivakkam,"Urban Primary Health Centre, Kathivakkam, No 3 392; Kathivakkam High Road; Ennore; Chennai  57",13.2161325,80.318177,1096.379136
S1-2-21,KattuKuppam,Tenable,2,334,1225,1,"KattuKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2186677,80.3192216,UPHC1,1,2,Kathivakkam,"Urban Primary Health Centre, Kathivakkam, No 3 392; Kathivakkam High Road; Ennore; Chennai  57",13.2161325,80.318177,357.1422396
S1-1-4,Nettukuppam,Untenable,1,403,1457,1,"Nettukuppam, Ward 1, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2290209,80.3289701,UPHC1,1,2,Kathivakkam,"Urban Primary Health Centre, Kathivakkam, No 3 392; Kathivakkam High Road; Ennore; Chennai  57",13.2161325,80.318177,2343.963963
S1-5-63,Rajiv Gandhi Nagar,Tenable,5,147,574,1,"Rajiv Gandhi Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1835336,80.3080675,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,1552.608069
S1-5-71,Bharath Nagar,Tenable,5,552,2284,1,"Bharath Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1844996,80.311213,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,1810.955405
S1-4-50,Mullai Nagar,Tenable,4,100,383,1,"Mullai Nagar, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.184737,80.3033778,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,822.7004022
S1-5-67,North Bharathiyar Nagar,Tenable,5,142,554,1,"North Bharathiyar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1853709,80.3153915,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,2943.013486
S1-5-70,Bharathiyar Nagar,Tenable,5,600,2261,1,"Bharathiyar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1853709,80.3153915,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,2943.013486
S1-4-38,Mahalakshmi Nagar,Tenable,4,99,367,1,"Mahalakshmi Nagar, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1856611,80.3042484,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,797.7480343
S1-4-52,Bajanai Kovil Street,Tenable,4,359,1325,1,"Bajanai Kovil Street, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1916766,80.3072114,UPHC2,1,3,Ernavoor,"Urban Primary Health Centre, Ernavoor, No 63 Block Tsunami Quarters; All India Nagar; Ernavoor; Chennai  57",13.1895685,80.3039002,639.3360207
S1-7-91,Karkil Nagar,Untenable,7,596,2279,1,"Karkil Nagar, Ward 7, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1690345,80.2919759,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,1830.392549
S1-6-76,J J Nagar,Untenable,6,97,399,1,"J J Nagar, Ward 6, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1775246,80.2948772,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,1021.918369
S2-16-13,Burma Nagar,Tenable,16,276,1027,2,"Burma Nagar, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1831187,80.2837607,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,2238.070811
S1-6-74,Jai Hind Nagar,Untenable,6,102,416,1,"Jai Hind Nagar, Ward 6, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1834434,80.302159,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,737.4909379
