s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S1-3-34,Periya Kasi Koil Kuppam,Tenable,3,430,1493,1,"Periya Kasi Koil Kuppam, Ward 3, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1987098,80.3178702
S1-2-11,ChinnaKuppam,Untenable,2,239,786,1,"ChinnaKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2074625,80.3227456
S1-2-24,PeriyaKuppam,Untenable,2,280,918,1,"PeriyaKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2121605,80.324166
S1-2-21,KattuKuppam,Tenable,2,334,1225,1,"KattuKuppam, Ward 2, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2186677,80.3192216
S1-1-4,Nettukuppam,Untenable,1,403,1457,1,"Nettukuppam, Ward 1, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.2290209,80.3289701
S1-5-63,Rajiv Gandhi Nagar,Tenable,5,147,574,1,"Rajiv Gandhi Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1835336,80.3080675
S1-5-71,Bharath Nagar,Tenable,5,552,2284,1,"Bharath Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1844996,80.311213
S1-4-50,Mullai Nagar,Tenable,4,100,383,1,"Mullai Nagar, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.184737,80.3033778
S1-5-67,North Bharathiyar Nagar,Tenable,5,142,554,1,"North Bharathiyar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1853709,80.3153915
S1-5-70,Bharathiyar Nagar,Tenable,5,600,2261,1,"Bharathiyar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1853709,80.3153915
S1-4-38,Mahalakshmi Nagar,Tenable,4,99,367,1,"Mahalakshmi Nagar, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1856611,80.3042484
S1-4-52,Bajanai Kovil Street,Tenable,4,359,1325,1,"Bajanai Kovil Street, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1916766,80.3072114
S1-7-91,Karkil Nagar,Untenable,7,596,2279,1,"Karkil Nagar, Ward 7, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1690345,80.2919759
S1-6-76,J J Nagar,Untenable,6,97,399,1,"J J Nagar, Ward 6, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1775246,80.2948772
S2-16-13,Burma Nagar,Tenable,16,276,1027,2,"Burma Nagar, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1831187,80.2837607
S1-6-74,Jai Hind Nagar,Untenable,6,102,416,1,"Jai Hind Nagar, Ward 6, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1834434,80.302159
S2-16-15,"Sadayan Kuppam , St Colony",Tenable,16,40,136,2,"Sadayan Kuppam , St Colony, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1842451,80.2837727
S1-4-43,Ernavoor,Tenable,4,178,616,1,"Ernavoor, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1895685,80.3039002
S1-9-117,Pattinathar Koil,Tenable,9,928,3201,1,"Pattinathar Koil, Ward 9, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1629918,80.3048291
S1-9-114,Appar Nagar,Tenable,9,279,770,1,"Appar Nagar, Ward 9, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1640671,80.308079
S1-7-89,Nehru Nagar,Tenable,7,81,286,1,"Nehru Nagar, Ward 7, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1648588,80.2913625
S1-8-108,"T S R Nagar , Ottaraivadai Street",Tenable,8,180,666,1,"T S R Nagar , Ottaraivadai Street, Ward 8, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1659149,80.305119
S1-5-62,Thiru Nagar,Tenable,5,181,701,1,"Thiru Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1697161,80.3066861
S1-5-61,Thiruvalluvar Nagar,Tenable,5,151,533,1,"Thiruvalluvar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1769492,80.3094719
S1-5-55,Sakthipuram,Tenable,5,185,707,1,"Sakthipuram, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1794308,80.3091237
S1-5-56,Poompuhar Nagar,Tenable,5,197,753,1,"Poompuhar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1813315,80.3075567
S1-5-60,Dr.Ambedkar Nagar,Tenable,5,339,1198,1,"Dr.Ambedkar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1823063,80.3075275
S1-14-140,Thiyagarayapuram,Tenable,14,1317,4693,1,"Thiyagarayapuram, Ward 14, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1480724,80.2997212
S1-11-127,Poongavanapuram,Tenable,11,488,1867,1,"Poongavanapuram, Ward 11, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1527116,80.3023221
S3-29-53,Kakkanpuram,Tenable,29,72,319,3,"Kakkanpuram, Ward 29, MADHAVARAM, Chennai, Tamil Nadu, India",13.1516065,80.2614037
S3-29-55,"Chinna Sekadu , Chandramman Koil",Tenable,29,50,206,3,"Chinna Sekadu , Chandramman Koil, Ward 29, MADHAVARAM, Chennai, Tamil Nadu, India",13.1605,80.2587034
S3-28-51,Periya Sekkadu,Tenable,28,21,72,3,"Periya Sekkadu, Ward 28, MADHAVARAM, Chennai, Tamil Nadu, India",13.1618972,80.2509504
S2-20-45,Chinnakannu Street,Tenable,20,19,70,2,"Chinnakannu Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1664375,80.2532644
S2-20-41,Balaraman Street,Untenable,20,118,526,2,"Balaraman Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1686854,80.2536231
S2-20-47,Rajiv Gandhi Street,Tenable,20,23,74,2,"Rajiv Gandhi Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1691983,80.2552951
S2-18-34,SR.C.V.Raman Street,Tenable,18,54,200,2,"SR.C.V.Raman Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1693546,80.2623907
S2-19-40,Periyamathur,Tenable,19,238,956,2,"Periyamathur, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1701327,80.245782
S2-19-35,Omakulam,Tenable,19,64,231,2,"Omakulam, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1703701,80.2415787
S2-20-46,M.G.R.Street,Tenable,20,21,76,2,"M.G.R.Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1722935,80.2557751
S2-18-28,Ekambaram Street,Untenable,18,65,258,2,"Ekambaram Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1727755,80.2610868
S2-18-33,CPCL Nagar,Tenable,18,361,1328,2,"CPCL Nagar, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1734585,80.2551319
S2-18-30,Harikrishnapuram,Untenable,18,128,495,2,"Harikrishnapuram, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1744102,80.2614037
S2-17-16,Kossapur Colony Area I,Tenable,17,188,678,2,"Kossapur Colony Area I, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982
S2-17-18,Kossapur Area II,Tenable,17,88,307,2,"Kossapur Area II, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982
S2-16-9,"Kanniyamman Pettai ,Colony",Tenable,16,126,460,2,"Kanniyamman Pettai ,Colony, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319
S2-16-12,Kanniyamman pettai,Tenable,16,172,632,2,"Kanniyamman pettai, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319
S2-17-22,Theeyambakkam,Tenable,17,89,324,2,"Theeyambakkam, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.1966201,80.2350707
S2-15-2,Old Napalayam,Tenable,15,325,1214,2,"Old Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2258456,80.2735228
S2-15-3,New Napalayam,Tenable,15,190,676,2,"New Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2264835,80.2737295
